Database|Reference|Continent|Sample_ID|Sample_Type|Method|Provenance|Age_Method|Age|Discordance|Hf|Lu|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Lu176_Hf177_2sigma|Hf176_Hf177_initial|eHf_now|eHf_initial
UCLA|Belousova et al 2010|Africa|6251|Detrital zircon|LA-MC-ICP-MS|||745.626038047|1.2451187922|0.8081832936|NaN|0.282236|0.0000093|0.000882756|NaN|0.2822236254|NaN|-2.9390358681
UCLA|Belousova et al 2010|Australia|11270|Detrital zircon|LA-MC-ICP-MS|||536.9992313992|1.2455147321|0.4635547976|NaN|0.282318|0.000012|0.0000407253|NaN|0.2823175896|NaN|-4.2444951071
UCLA|Belousova et al 2010|S.America|10169|Detrital zircon|LA-MC-ICP-MS|||1196.741252305|1.2470635156|0.3144682638|NaN|0.282207|0.000015|0.000483364|NaN|0.2821960786|NaN|6.1775536005
UCLA|Belousova et al 2010|Asia|506|Detrital zircon|LA-MC-ICP-MS|||937.018326249|1.2483466309|0.2748588843|NaN|0.282207|0.000013|0.000824237|NaN|0.2821924538|NaN|0.2257059484
UCLA|Harrison et al 2008|Australia (Jack Hills)|ANU74-11.4|Detrital zircon|LA-MC-ICP-MS|Yilgarn|U-Pb zircon|4200|1.2484112401|NaN|NaN|0.2800637121|0.0000613056107349|0.0009185461|0.000022061|0.279988786|-96.2316905482|-1.980068799
UCLA|Belousova et al 2010|Europe|8844|Detrital zircon|LA-MC-ICP-MS|||2742.7674500965|1.249235281|0.3010109023|NaN|0.281141|0.000014|0.0000778048|NaN|0.281136912|NaN|3.8886280563
UCLA|Belousova et al 2010|Asia|591|Detrital zircon|LA-MC-ICP-MS|||483.456238752|1.2516371785|0.5230692462|NaN|0.282775|0.000014|0.000918681|NaN|0.2827666703|NaN|10.4681295593
UCLA|Belousova et al 2010|Australia|12893|Detrital zircon|LA-MC-ICP-MS|||864.7027989957|1.2521585483|0.4428775665|NaN|0.28234|0.000009|0.000595317|NaN|0.2823303112|NaN|3.4950670137
UCLA|Belousova et al 2010|Australia|12446|Detrital zircon|LA-MC-ICP-MS|||1607.6242355117|1.2528435189|0.9606618399|NaN|0.281947|0.0000081|0.000862247|NaN|0.2819207279|NaN|5.6895569617
UCLA|Belousova et al 2010|Europe|1115|Detrital zircon|LA-MC-ICP-MS|||1377.0166034456|1.2529355262|0.3883774683|NaN|0.282075|0.000014|0.000780412|NaN|0.2820546763|NaN|5.2243458876
UCLA|Belousova et al 2010|S.America|10279|Detrital zircon|LA-MC-ICP-MS|||2745.2744126592|1.2530425017|1.5315273799|NaN|0.281|0.0000091|0.000647946|NaN|0.2809659242|NaN|-2.1375618455
UCLA|Belousova et al 2009|Australia|EGC05-42|Detrital zircon|LA-MC-ICP-MS|||1197|1.2531328321|NaN|NaN|0.28208|0.000018|0.000845536|NaN|0.2820608912|-24.9306009866|1.2494264379
UCLA|Belousova et al 2010|Europe|1530|Detrital zircon|LA-MC-ICP-MS|||1619.6122376684|1.2532348435|0.7458255185|NaN|0.281832|0.0000097|0.000920968|NaN|0.2818037263|NaN|1.8088742383
UCLA|Belousova et al 2010|Australia|12317|Detrital zircon|LA-MC-ICP-MS|||1594.9708597526|1.2537668322|0.7459808932|NaN|0.281995|0.000009|0.000969141|NaN|0.2819657068|NaN|6.9989003677
UCLA|Belousova et al 2010|Asia|2920|Detrital zircon|LA-MC-ICP-MS|||1634.6484682709|1.2548369975|0.9850890226|NaN|0.282042|0.000011|0.00239353|NaN|0.281967826|NaN|7.9743855388
UCLA|Belousova et al 2010|S.America|9513|Detrital zircon|LA-MC-ICP-MS|||1266.8623721713|1.2566254634|0.6082651147|NaN|0.282322|0.0000096|0.000807418|NaN|0.2823026751|NaN|11.5361138424
UCLA|Belousova et al 2010|Africa|11782|Detrital zircon|LA-MC-ICP-MS|||2636.7484307795|1.2570708847|0.4297973789|NaN|0.281022|0.0000087|0.00109385|NaN|0.2809668044|NaN|-4.6221114243
UCLA|Belousova et al 2010|S.America|9790|Detrital zircon|LA-MC-ICP-MS|||1222.899435892|1.257172508|0.8279500084|NaN|0.282035|0.000013|0.000728814|NaN|0.2820181686|NaN|0.4572605352
UCLA|Belousova et al 2010|Australia|12718|Detrital zircon|LA-MC-ICP-MS|||1188.3349947627|1.2579735351|1.050916294|NaN|0.282025|0.000014|0.000845023|NaN|0.2820060426|NaN|-0.7496905838
UCLA|Belousova et al 2010|Europe|1669|Detrital zircon|LA-MC-ICP-MS|||868.8194569198|1.2594576085|0.5724496819|NaN|0.282269|0.000007|0.000751007|NaN|0.2822567187|NaN|0.9794403144
UCLA|Belousova et al 2010|S.America|9820|Detrital zircon|LA-MC-ICP-MS|||617.9241620856|1.2595484536|0.3685358508|NaN|0.282259|0.0000098|0.000395621|NaN|0.2822544094|NaN|-4.687050375
UCLA|Belousova et al 2010|Africa|6227|Detrital zircon|LA-MC-ICP-MS|||1981.4440284474|1.2599344222|921.5567241766|NaN|0.281551|0.0000096|0.000191177|NaN|0.2815437952|NaN|0.8163398116
UCLA|Belousova et al 2010|S.America|9283|Detrital zircon|LA-MC-ICP-MS|||1250.7620306699|1.260604952|0.327114114|NaN|0.282065|0.000011|0.000702499|NaN|0.2820484024|NaN|2.1562169414
UCLA|Belousova et al 2010|Australia|8496|Detrital zircon|LA-MC-ICP-MS|||1666.9895959402|1.2636151721|0.1246577725|NaN|0.281805|0.000014|0.00173391|NaN|0.2817501875|NaN|0.9835302076
UCLA|Belousova et al 2010|Europe|1385|Detrital zircon|LA-MC-ICP-MS|||1687.4555000471|1.2644453636|0.4520521265|NaN|0.281943|0.000011|0.00109684|NaN|0.2819078942|NaN|7.0464145728
UCLA|Belousova et al 2010|Australia|141|Detrital zircon|LA-MC-ICP-MS|||341.3564316047|1.2651763833|0.4830833635|NaN|0.282579|0.000012|0.00118982|NaN|0.2825713929|NaN|0.412525948
UCLA|Belousova et al 2010|S.America|9866|Detrital zircon|LA-MC-ICP-MS|||926.0834038135|1.2667393891|0.6574931044|NaN|0.282369|0.000011|0.000588592|NaN|0.2823587348|NaN|5.8737532874
UCLA|Belousova et al 2010|Australia|10715|Detrital zircon|LA-MC-ICP-MS|||554.3541864101|1.2676078184|0.4887690005|NaN|0.282397|0.000013|0.000200136|NaN|0.2823949179|NaN|-1.1218735409
UCLA|Belousova et al 2010|S.America|9288|Detrital zircon|LA-MC-ICP-MS|||1166.8642926148|1.2677556107|0.2270478108|NaN|0.282195|0.000013|0.00117812|NaN|0.2821690526|NaN|4.547653177
UCLA|Belousova et al 2009|Australia|EGC05-46|Detrital zircon|LA-MC-ICP-MS|||1893|1.2678288431|NaN|NaN|0.28146|0.000014|0.00115291|NaN|0.2814185249|-46.855384833|-5.6020184793
UCLA|Belousova et al 2010|S.America|9379|Detrital zircon|LA-MC-ICP-MS|||1058.0144348387|1.2686548356|1.2148283352|NaN|0.281957|0.000011|0.000627125|NaN|0.2819444892|NaN|-5.8554173981
UCLA|Belousova et al 2010|Australia|12387|Detrital zircon|LA-MC-ICP-MS|||1126.3607800413|1.2704597494|0.5622994115|NaN|0.282077|0.000009|0.000681884|NaN|0.2820625087|NaN|-0.139351497
UCLA|Belousova et al 2010|Europe|1012|Detrital zircon|LA-MC-ICP-MS|||1906.4361224282|1.2715941099|0.7833160553|NaN|0.281727|0.000015|0.00106994|NaN|0.2816882316|NaN|4.2336486416
UCLA|Belousova et al 2010|Europe|1190|Detrital zircon|LA-MC-ICP-MS|||1474.7985923344|1.272103474|0.8635383821|NaN|0.281601|0.000012|0.000967685|NaN|0.2815739851|NaN|-9.6211801831
UCLA|Belousova et al 2010|Asia|9154|Detrital zircon|LA-MC-ICP-MS|||286.588106034|1.2729445168|0.7938487653|NaN|0.28284|0.0000084|0.000494018|NaN|0.2828373496|NaN|8.6153892099
UCLA|Belousova et al 2010|Australia|11284|Detrital zircon|LA-MC-ICP-MS|||1706.2370757116|1.2732973427|0.6569171564|NaN|0.28164|0.000012|0.000936478|NaN|0.2816096878|NaN|-3.112768615
UCLA|Belousova et al 2010|Africa|5495|Detrital zircon|LA-MC-ICP-MS|||803.4207784863|1.2733597197|0.4571554887|NaN|0.282548|0.000014|0.000867613|NaN|0.2825348878|NaN|9.3753079899
UCLA|Belousova et al 2010|Africa|5494|Detrital zircon|LA-MC-ICP-MS|||803.4207784863|1.2733597197|0.4571554887|NaN|0.282621|0.000019|0.000498307|NaN|0.2826134691|NaN|12.1592108265
UCLA|Belousova et al 2010|Australia|10689|Detrital zircon|LA-MC-ICP-MS|||1800.8906904324|1.2739181327|0.4695979108|NaN|0.281612|0.000017|0.000551408|NaN|0.281593145|NaN|-1.5482926189
UCLA|Belousova et al 2010|Australia|10394|Detrital zircon|LA-MC-ICP-MS|||1166.6128592573|1.2742057004|0.3972180638|NaN|0.28195|0.0000089|0.000511046|NaN|0.281938747|NaN|-3.6236781393
UCLA|Belousova et al 2010|Asia|2871|Detrital zircon|LA-MC-ICP-MS|||1655.3760779352|1.2744484567|0.4437393406|NaN|0.281768|0.0000085|0.000544696|NaN|0.2817509029|NaN|0.7453334173
UCLA|Belousova et al 2010|Australia|6402|Detrital zircon|LA-MC-ICP-MS|||2651.6721250141|1.276085901|1.00229239|NaN|0.281193|0.000012|0.000978689|NaN|0.2811433289|NaN|2.0035424524
UCLA|Belousova et al 2010|Africa|5498|Detrital zircon|LA-MC-ICP-MS|||802.2255488365|1.2764519373|0.2772370729|NaN|0.28257|0.000011|0.000985344|NaN|0.2825551309|NaN|10.0657902023
UCLA|Belousova et al 2010|Australia|10840|Detrital zircon|LA-MC-ICP-MS|||1892.6762574682|1.2769654358|0.5247340363|NaN|0.28146|0.000014|0.00115291|NaN|0.2814185321|NaN|-5.6584676269
UCLA|Belousova et al 2010|Asia|2834|Detrital zircon|LA-MC-ICP-MS|||1639.9953570853|1.2770040673|0.6909477473|NaN|0.281717|0.0000078|0.000592183|NaN|0.2816985877|NaN|-1.460510699
UCLA|Belousova et al 2009|Australia|EGC02-81|Detrital zircon|LA-MC-ICP-MS|||1801|1.2770682954|NaN|NaN|0.281612|0.000017|0.000551408|NaN|0.2815931438|-41.4802765352|-1.5217569613
