Locality	Unit 	Sample_ID	Age	Reference	d18O	Reference	SiO2	Reference	Lithology	
Superior Province Volcanics	Tuff in MMV 	# 80 	2700	4	5.23	82			Qtz phyric felsic tuff	
Superior Province Volcanics	Paymaster Porphyry (1) 	KN 76-7 	2691	4	5.33	82			Rhyolite	
Superior Province Volcanics	Stoughton-Roquemaure Group 	84 SM-7 	2714	4	4.7	82			Flow-banded rhyolite (1)	
Superior Province Volcanics	upper Deloro Formation 	C-88-17 	2725	4	5.07	82			Rhyolite (1)	
Superior Province Volcanics	Larder Lake Group 	PN-77-9 	2705	4	6.06	82			Felsic pyroclastic rock (1)	
Superior Province Volcanics	Kinojevis Group 	C-88-8 	2701	4	5	82			Rhyolite (1)	
Superior Province Volcanics	upper Deloro Formation 	PN-77-18 	2727	4	5.58	82			Dacitic crystal tuff (1)	
Superior Province Volcanics	Kidd Creek 	PN77-22 	2711	6	5.26	6	77	5	Rhyolite	
Superior Province Volcanics	Kidd Creek 	KC 102a 	2711	6	5.91	6	77	5	Rhyolite	
Superior Province Volcanics	Kidd Creek 	KCFC-1 	2711	6	5.53	6	77	5	Rhyolite	
Superior Province Volcanics	Kidd Creek 	KC465b 	2711	6	5.16	6	77	5	Rhyolite	
Superior Province Volcanics	GECO 	97MW4 	2720	73	4.38	79	39	72	Rhyolite	
Superior Province Volcanics	GECO 	97MW7 	2720	73	2.4	79	44.7	72	Rhyolite	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	 DD87-48 	2730	4	5.69	4			TTG: trondhjemite	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	DD84-20 	2730	4	5.97	4			Snowflake dike	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	DD83-9 	2733	4	5.24	4			TTG: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	DD83-4 	2732	4	4.96	4			TTG: granodiorite	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	DD83-10 	2732	4	5.54	4	66.8	4	TTG: quartz diorite	
Superior Province Plutonic - Wabigoon Subprovince	Atikwa 	DD81-32 	2734	4	5.52	4			TTG: quartz diorite	
