Database|Reference|Sample_ID|Comments|Age|d18O|d18O_2sigma
Payne et al., 2016 LITHOS|Valley et al. (2005)|2708|I|1119.0|8.32|
Payne et al., 2016 LITHOS|Valley et al. (2005)|2735|I|1121.0|7.57|
Payne et al., 2016 LITHOS|Valley et al. (2005)|9-23-85-7|I|1125.0|8.19|
Payne et al., 2016 LITHOS|Valley et al. (2005)|P52|I|1128.0|7.40|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AR77|I|1128.0|7.04|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-6|I|1134.0|7.62|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-10|I|1135.0|8.29|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-11|I|1143.0|7.69|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-11|I|1143.0|7.71|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM87-11|I|1144.0|6.79|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96MR21|I|1145.0|9.38|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-2|I|1146.0|8.59|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC84-246|I|1146.0|9.65|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PTG-4|I|1146.0|5.54|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM86-15|I|1147.0|8.73|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DF178|I|1149.0|8.34|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM86-9|I|1150.0|7.67|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Pacoima|I|1150.0|5.74|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Pacoima|I|1150.0|5.33|
Payne et al., 2016 LITHOS|Valley et al. (2005)|93DM152|I|1153.0|7.64|
Payne et al., 2016 LITHOS|Valley et al. (2005)|2800|I|1154.0|7.40|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM86-1|I|1155.0|8.10|
Payne et al., 2016 LITHOS|Valley et al. (2005)|O1E1|I|1155.0|8.82|
Payne et al., 2016 LITHOS|Valley et al. (2005)|O1E2|I|1155.0|8.87|
Payne et al., 2016 LITHOS|Valley et al. (2005)|O1E3|I|1155.0|8.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|O1E4|I|1155.0|8.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|98HA2|I|1155.0|10.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|98LB3|I|1155.0|8.22|
Payne et al., 2016 LITHOS|Valley et al. (2005)|94DM20|I|1156.0|6.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM86-17|I|1157.0|7.78|
Payne et al., 2016 LITHOS|Valley et al. (2005)|93DM131a|I|1157.0|7.90|
Payne et al., 2016 LITHOS|Valley et al. (2005)|94DM53|I|1160.0|11.86|
Payne et al., 2016 LITHOS|Valley et al. (2005)|86DM9c|I|1162.0|11.13|
Payne et al., 2016 LITHOS|Valley et al. (2005)|93DM19|I|1162.0|7.96|
Payne et al., 2016 LITHOS|Valley et al. (2005)|V76|I|1162.0|6.58|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM87-5|I|1164.0|11.05|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CQA925A|I|1164.0|8.36|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CQA925B|I|1164.0|8.13|
Payne et al., 2016 LITHOS|Valley et al. (2005)|LH86-63|I|1165.0|11.15|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96MR43|I|1165.0|8.39|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96FN1|I|1165.0|8.19|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CQA1085|I|1165.0|9.23|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CQA1427|I|1165.0|6.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CQA3565B|I|1165.0|8.86|
Payne et al., 2016 LITHOS|Valley et al. (2005)|LH87-31|I|1166.0|10.92|
Payne et al., 2016 LITHOS|Valley et al. (2005)|LH87-64|I|1166.0|13.01|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CQA008|I|1167.0|7.43|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-5|I|1172.0|4.61|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM87-1|I|1172.0|9.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM87-4|I|1172.0|6.46|
Payne et al., 2016 LITHOS|Valley et al. (2005)|TC-16|I|1172.0|11.51|
Payne et al., 2016 LITHOS|Valley et al. (2005)|LH87-30|I|1176.0|13.51|
Payne et al., 2016 LITHOS|Valley et al. (2005)|TOE|I|1184.0|8.30|
Payne et al., 2016 LITHOS|Valley et al. (2005)|ANT|I|1207.0|7.79|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-3|I|1219.0|5.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM87-13|I|1233.0|6.45|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CQA3565A|I|1240.0|6.33|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AC85-4|I|1284.0|9.25|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC92-210|I|1285.0|5.44|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC92-198B|I|1294.0|5.77|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC89-130|I|1300.0|7.02|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC93-233|I|1301.0|5.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM86-12|I|1301.0|6.43|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC90-177|I|1305.0|6.06|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC92-187|I|1306.0|6.19|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HMB93-14A|I|1311.0|6.20|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HMB93-17|I|1311.0|5.94|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC92-184|I|1311.0|6.28|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC92-53A|I|1311.0|6.18|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC90-179|I|1311.0|6.28|
Payne et al., 2016 LITHOS|Valley et al. (2005)|NC-8924A|I|1319.0|5.05|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC93-157|I|1319.0|7.14|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC94-7c|I|1319.0|5.60|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HMB96-122|I|1322.0|6.71|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC92-116|I|1322.0|8.06|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC91-10|I|1322.0|5.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC90-161|I|1322.0|6.88|
Payne et al., 2016 LITHOS|Valley et al. (2005)|EC90-265|I|1326.0|6.06|
Payne et al., 2016 LITHOS|Valley et al. (2005)|AM87-12|I|1329.0|6.09|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HMB96-104B|I|1330.0|6.22|
Payne et al., 2016 LITHOS|Valley et al. (2005)|LDT|I|1336.0|7.32|
Payne et al., 2016 LITHOS|Valley et al. (2005)|LAC6|I|1340.0|7.23|
Payne et al., 2016 LITHOS|Valley et al. (2005)|SR338(A)|I|1340.0|7.13|
Payne et al., 2016 LITHOS|Valley et al. (2005)|SR339(A)|I|1340.0|7.22|
Payne et al., 2016 LITHOS|Valley et al. (2005)|SR341(A)|I|1340.0|7.61|
Payne et al., 2016 LITHOS|Valley et al. (2005)|SS42(A)|I|1340.0|7.54|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-101|I|1500.0|7.94|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-102|I|1500.0|9.81|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-104|I|1500.0|8.13|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-105|I|1500.0|6.44|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-106|I|1500.0|6.31|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-108|I|1500.0|7.50|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-109|I|1500.0|6.16|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-110|I|1500.0|6.01|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-111|I|1500.0|6.94|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-112|I|1500.0|5.62|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-113|I|1500.0|5.89|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-114|I|1500.0|6.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95BR-115|I|1500.0|6.55|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96BR-005|I|1500.0|6.01|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96BR-006|I|1500.0|6.47|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96BR-008|I|1500.0|6.96|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96BR-010|I|1500.0|5.62|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96BR-015|I|1500.0|6.06|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96BR-016|I|1500.0|4.92|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A606|I|1573.0|8.47|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A691|I|1573.0|7.56|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A295|I|1575.0|6.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1303|I|1576.0|8.79|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A29|I|1633.0|7.21|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A119|I|1633.0|6.68|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1577|I|1636.0|6.21|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1042|I|1639.0|8.12|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1306|I|1639.0|7.04|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1360|I|1642.0|8.09|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A574|I|1643.0|5.53|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A118|I|1645.0|7.15|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A602|I|1645.0|6.15|
Payne et al., 2016 LITHOS|Valley et al. (2005)|23C|I|1720.0|4.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|VS87-14|I|1760.0|5.15|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Z2033|I|1806.0|7.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD85-1|I|1819.0|5.62|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95SB42|I|1826.0|6.32|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95SB41|I|1831.0|6.06|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95SB12|I|1837.0|7.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD86-18|I|1842.0|6.42|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1531|I|1851.0|5.90|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD84-WL3|I|1854.0|5.67|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD86-14|I|1857.0|5.56|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95SB11|I|1858.0|7.98|
Payne et al., 2016 LITHOS|Valley et al. (2005)|VS73-18|I|1860.0|5.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1290|I|1870.0|7.60|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A588|I|1870.0|5.50|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1530|I|1873.0|5.87|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A922|I|1875.0|7.78|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1358|I|1876.0|6.46|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1427|I|1879.0|6.39|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A1426|I|1885.0|6.59|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A218|I|1885.0|7.71|
Payne et al., 2016 LITHOS|Valley et al. (2005)|A392|I|1886.0|6.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|K-16|I|1894.0|4.50|
Payne et al., 2016 LITHOS|Valley et al. (2005)|1050|I|1935.0|7.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD85-9|I|1940.0|6.82|
Payne et al., 2016 LITHOS|Valley et al. (2005)|E-31|I|1950.0|6.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CTU-5|I|1950.0|7.70|
Payne et al., 2016 LITHOS|Valley et al. (2005)|5115|I|1990.0|7.60|
Payne et al., 2016 LITHOS|Valley et al. (2005)|980/64|I|2000.0|5.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|111/62|I|2000.0|6.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD85-8|I|2006.0|7.74|
Payne et al., 2016 LITHOS|Valley et al. (2005)|OM-165|I|2050.0|4.69|
Payne et al., 2016 LITHOS|Valley et al. (2005)|865/971|I|2060.0|5.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|OM-298|I|2063.0|5.72|
Payne et al., 2016 LITHOS|Valley et al. (2005)|URPR-60|I|2078.0|1.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|SSAGI-45|I|2100.0|5.35|
Payne et al., 2016 LITHOS|Valley et al. (2005)|ITATINS-JF-8d|I|2100.0|6.18|
Payne et al., 2016 LITHOS|Valley et al. (2005)|OM-388|I|2100.0|6.05|
Payne et al., 2016 LITHOS|Valley et al. (2005)|SN|I|2100.0|6.10|
Payne et al., 2016 LITHOS|Valley et al. (2005)|MBAN 2C|I|2100.0|5.61|
Payne et al., 2016 LITHOS|Valley et al. (2005)|MBAN2B|I|2100.0|6.11|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD85-5|I|2100.0|6.17|
Payne et al., 2016 LITHOS|Valley et al. (2005)|K-1-4|I|2100.0|7.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|URPR-37|I|2100.0|7.27|
Payne et al., 2016 LITHOS|Valley et al. (2005)|URPR-52A|I|2111.0|1.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|MJ-138|I|2138.0|3.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|K-1-1|I|2150.0|7.20|
Payne et al., 2016 LITHOS|Valley et al. (2005)|GKM-15|I|2200.0|5.17|
Payne et al., 2016 LITHOS|Valley et al. (2005)|MJ-192c|I|2200.0|5.56|
Payne et al., 2016 LITHOS|Valley et al. (2005)|OM-904|I|2200.0|5.11|
Payne et al., 2016 LITHOS|Valley et al. (2005)|TIM-II-75|I|2200.0|5.02|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD85-10|I|2200.0|6.40|
Payne et al., 2016 LITHOS|Valley et al. (2005)|BR 1|I|2230.0|4.35|
Payne et al., 2016 LITHOS|Valley et al. (2005)|BRAF-35|I|2251.0|5.99|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD85-2|I|2400.0|6.04|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CF85-71|I|2494.0|5.45|
Payne et al., 2016 LITHOS|Valley et al. (2005)|CF85-62|I|2495.0|5.87|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Ag5-5|I|2560.0|5.59|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD91-23|I|2580.0|5.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|HUD85-25A|I|2597.0|6.09|
Payne et al., 2016 LITHOS|Valley et al. (2005)|T-33|I|2620.0|8.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-82-17|I|2668.0|7.52|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-82-18|I|2668.0|7.03|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Arcadia Veins|I|2670.0|4.87|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD90-53|I|2672.0|5.78|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-86-14|I|2678.0|6.53|
Payne et al., 2016 LITHOS|Valley et al. (2005)|84-SM-19|I|2678.0|5.82|
Payne et al., 2016 LITHOS|Valley et al. (2005)|96WB-22|I|2680.0|6.42|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD96-4|I|2680.0|6.46|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD96-11|I|2680.0|6.09|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD96-10|I|2680.0|6.09|
Payne et al., 2016 LITHOS|Valley et al. (2005)|K-76-2|I|2680.0|6.63|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-92-20|I|2681.0|6.30|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Anialik Diorite|I|2683.0|5.18|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-92-31|I|2684.0|6.18|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-12|I|2686.0|6.27|
Payne et al., 2016 LITHOS|Valley et al. (2005)|WOB-86|I|2686.0|5.37|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD96-6|I|2688.0|6.83|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN-77-13|I|2689.0|4.67|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-92-30|I|2690.0|5.78|
Payne et al., 2016 LITHOS|Valley et al. (2005)|KN 76-7|I|2691.0|5.33|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD85-2|I|2691.0|5.82|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Anialik 577|I|2694.0|4.96|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Anialik 28|I|2694.0|4.46|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Anialik Tonalite|I|2694.0|4.86|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD87-51|I|2695.0|5.58|
Payne et al., 2016 LITHOS|Valley et al. (2005)|TK76-30|I|2695.0|6.60|
Payne et al., 2016 LITHOS|Valley et al. (2005)|T-3t|I|2695.0|6.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C87-39|I|2697.0|6.90|
Payne et al., 2016 LITHOS|Valley et al. (2005)|S78-20|I|2698.0|6.49|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C88-34|I|2698.0|6.57|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C88-29|I|2698.0|6.47|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD86-17|I|2700.0|5.22|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD83-2|I|2700.0|5.73|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD83-5|I|2700.0|5.70|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD96-1|I|2700.0|5.77|
Payne et al., 2016 LITHOS|Valley et al. (2005)|G90-4|I|2700.0|5.03|
Payne et al., 2016 LITHOS|Valley et al. (2005)|Winston Lake|I|2700.0|2.86|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD95-20|I|2700.0|6.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-28|I|2700.0|5.47|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-32|I|2700.0|6.18|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-35|I|2700.0|5.42|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-43|I|2700.0|4.86|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-13|I|2700.0|5.08|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD82-1|I|2700.0|6.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-2|I|2700.0|5.93|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-8|I|2700.0|5.49|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-9|I|2700.0|5.18|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD85-9|I|2700.0|6.51|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD86-6|I|2700.0|6.68|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD86-7|I|2700.0|5.50|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD90-42|I|2700.0|6.10|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD90-60|I|2700.0|6.40|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD93-11|I|2700.0|5.10|
Payne et al., 2016 LITHOS|Valley et al. (2005)|#52|I|2700.0|5.64|
Payne et al., 2016 LITHOS|Valley et al. (2005)|#60|I|2700.0|5.69|
Payne et al., 2016 LITHOS|Valley et al. (2005)|#80|I|2700.0|5.23|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-14|I|2700.0|4.85|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD96-8|I|2700.0|6.40|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-88-23|I|2700.0|6.35|
Payne et al., 2016 LITHOS|Valley et al. (2005)|TK83-6|I|2700.0|4.97|
Payne et al., 2016 LITHOS|Valley et al. (2005)|98S-SK40|I|2700.0|5.80|
Payne et al., 2016 LITHOS|Valley et al. (2005)|95SK11|I|2700.0|5.15|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-88-8|I|2701.0|5.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-29|I|2701.0|5.90|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-83-21|I|2704.0|5.84|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN-77-9|I|2705.0|6.06|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD87-41|I|2706.0|5.45|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-16|I|2709.0|5.46|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-16|I|2710.0|6.28|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-19|I|2710.0|6.13|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN77-22|I|2711.0|5.26|
Payne et al., 2016 LITHOS|Valley et al. (2005)|KC102a|I|2711.0|5.91|
Payne et al., 2016 LITHOS|Valley et al. (2005)|KCFC-1|I|2711.0|5.53|
Payne et al., 2016 LITHOS|Valley et al. (2005)|KC465b|I|2711.0|5.16|
Payne et al., 2016 LITHOS|Valley et al. (2005)|84 SM-7|I|2714.0|4.70|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN76-13|I|2717.0|5.87|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-17|I|2717.0|5.42|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-81-10|I|2718.0|5.90|
Payne et al., 2016 LITHOS|Valley et al. (2005)|97MW4|I|2720.0|4.38|
Payne et al., 2016 LITHOS|Valley et al. (2005)|97MW7|I|2720.0|2.40|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-83-19|I|2720.0|6.01|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN-78-5|I|2720.0|5.81|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-19|I|2723.0|4.88|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD85-10|I|2723.0|5.76|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-30|I|2723.0|5.69|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-88-17|I|2725.0|5.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN-77-18|I|2727.0|5.58|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-18|I|2727.0|5.47|
Payne et al., 2016 LITHOS|Valley et al. (2005)|RN SHAFT|I|2728.0|5.59|
Payne et al., 2016 LITHOS|Valley et al. (2005)|RNLY3105|I|2728.0|5.26|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-24|I|2729.0|5.48|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD86-25a|I|2729.0|5.53|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD87-48|I|2730.0|5.69|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-20|I|2730.0|5.97|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-6|I|2731.0|5.43|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD83-4|I|2732.0|4.96|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD83-10|I|2732.0|5.54|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-4|I|2732.0|5.07|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD83-9|I|2733.0|5.24|
Payne et al., 2016 LITHOS|Valley et al. (2005)|31E|I|2733.0|5.57|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-18|I|2733.0|4.92|
Payne et al., 2016 LITHOS|Valley et al. (2005)|JH 82-1|I|2734.0|5.39|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN 76-15|I|2734.0|5.48|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD81-32|I|2734.0|5.52|
Payne et al., 2016 LITHOS|Valley et al. (2005)|JH 82-4|I|2735.0|5.46|
Payne et al., 2016 LITHOS|Valley et al. (2005)|JH 82-2|I|2735.0|5.33|
Payne et al., 2016 LITHOS|Valley et al. (2005)|JH82-3|I|2736.0|5.09|
Payne et al., 2016 LITHOS|Valley et al. (2005)|PN 76-14|I|2736.0|5.51|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD78-17|I|2739.0|5.08|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-16|I|2740.0|6.12|
Payne et al., 2016 LITHOS|Valley et al. (2005)|C-87-17|I|2741.0|5.41|
Payne et al., 2016 LITHOS|Valley et al. (2005)|BT4-58|D|2936.0|5.50|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD85-17|I|3000.0|5.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|DD84-10|I|3003.0|4.95|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-25|I|3107.0|6.00|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-20|I|3107.0|6.55|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-22|I|3216.0|4.91|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-14|I|3227.0|5.94|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-32|I|3228.0|5.95|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-35|D|3280.0|6.20|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-18|I|3304.0|5.52|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-2|D|3380.0|6.10|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-19|D|3380.0|6.90|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-17|D|3390.0|6.50|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-33|D|3390.0|6.70|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-8|D|3400.0|7.40|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-36|D|3410.0|6.20|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-18|D|3440.0|5.70|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-4|I|3443.0|4.68|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-9|D|3450.0|5.60|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-34|D|3460.0|6.30|
Payne et al., 2016 LITHOS|Valley et al. (2005)|B87-1|I|3460.0|5.52|
Payne et al., 2016 LITHOS|Valley et al. (2005)|W74-14|D|3490.0|5.00|
