Time,Coverage,CoverageSmoothed,Volume,VolumeSmoothed
3361.5,0.021074815595364,0.021074815595364,2918.86865234375,2918.4848632813
3362.5,0.021074815595364,0.021074815595364,2918.86865234375,2917.7487792969
3363.5,0.021074815595364,0.021074815595364,2918.86865234375,2916.9758300781
3364.5,0.021074815595364,0.021074815595364,2915.94311523437,2916.1635742188
3365.5,0.021074815595364,0.021074815595364,2915.94311523437,2915.3090820313
3366.5,0.021074815595364,0.021074815595364,2915.94311523437,2914.4108886719
3367.5,0.021074815595364,0.021074815595364,2915.94311523437,2913.4672851563
3368.5,0.021074815595364,0.021074815595364,2915.94311523437,2912.4777832031
3369.5,0.021074815595364,0.021074815595364,2915.94311523437,2911.4426269531
3370.5,0.021074815595364,0.021074815595364,2915.94311523437,2910.3630371094
3371.5,0.021074815595364,0.021074815595364,2915.94311523437,2909.240234375
3372.5,0.021074815595364,0.021074815595364,2915.94311523437,2908.0776367188
3373.5,0.021074815595364,0.021074815595364,2915.94311523437,2906.8781738281
3374.5,0.021074815595364,0.021074815595364,2915.94311523437,2905.6469726563
3375.5,0.021074815595364,0.021074815595364,2901.93994140625,2904.3889160156
3376.5,0.021074815595364,0.021074815595364,2898.095703125,2903.1101074219
3377.5,0.021074815595364,0.021074815595364,2898.095703125,2901.8171386719
3378.5,0.021074815595364,0.021074815595364,2898.095703125,2900.5170898438
3379.5,0.021074815595364,0.021074815595364,2898.095703125,2899.2177734375
3380.5,0.021074815595364,0.021074815595364,2895.404296875,2897.9265136719
3381.5,0.021074815595364,0.021074815595364,2895.404296875,2896.6506347656
3382.5,0.021074815595364,0.021074815595364,2895.404296875,2895.3979492188
3383.5,0.021074815595364,0.021074815595364,2895.404296875,2894.1748046875
3384.5,0.021074815595364,0.021074815595364,2895.404296875,2892.9873046875
3385.5,0.021074815595364,0.021074815595364,2895.404296875,2891.8408203125
3386.5,0.021074815595364,0.021074815595364,2879.79150390625,2890.7392578125
3387.5,0.021074815595364,0.021074815595364,2879.79150390625,2889.6853027344
3388.5,0.021074815595364,0.021074815595364,2879.79150390625,2888.6806640625
3389.5,0.021074815595364,0.021074815595364,2879.79150390625,2887.724609375
3390.5,0.021074815595364,0.021074815595364,2880.85961914062,2886.8151855469
3391.5,0.021074815595364,0.021074815595364,2880.85961914062,2885.9489746094
3392.5,0.021074815595364,0.021074815595364,2880.85961914062,2885.1203613281
3393.5,0.021074815595364,0.021074815595364,2880.85961914062,2884.3217773438
3394.5,0.021074815595364,0.021074815595364,2880.85961914062,2883.5439453125
3395.5,0.021074815595364,0.021074815595364,2880.85961914062,2882.7766113281
3396.5,0.021074815595364,0.021074815595364,2880.85961914062,2882.0070800781
3397.5,0.021074815595364,0.021074815595364,2880.85961914062,2881.2221679688
3398.5,0.021074815595364,0.021074829698317,2880.85961914062,2880.4108886719
3399.5,0.021074815595364,0.021074850632519,2880.85961914062,2879.5561523438
3400.5,0.021074815595364,0.021074881397722,2882.94653320313,2878.642578125
3401.5,0.021074815595364,0.021074926160827,2882.94653320313,2877.6557617188
3402.5,0.021074815595364,0.021074990642708,2882.94653320313,2876.5805664063
3403.5,0.021074815595364,0.021075082605518,2882.94653320313,2875.4038085938
3404.5,0.021074815595364,0.02107521245608,2882.94653320313,2874.11328125
3405.5,0.021074815595364,0.021075393979424,2882.94653320313,2872.6987304688
3406.5,0.021074815595364,0.021075645213295,2882.94653320313,2871.1520996094
3407.5,0.021074815595364,0.021075989468847,2879.98486328125,2869.4685058594
3408.5,0.021074815595364,0.021076456494535,2879.98486328125,2867.6462402344
3409.5,0.021074815595364,0.021077083769047,2876.50512695313,2865.6872558594
3410.5,0.021074815595364,0.021077917894874,2876.50512695313,2863.59765625
3411.5,0.021074815595364,0.021079016047113,2876.50512695313,2861.3872070313
3412.5,0.021074815595364,0.021080447412757,2876.50512695313,2859.0720214844
3413.5,0.021074815595364,0.021082294535185,2866.19604492187,2856.6721191406
3414.5,0.021074815595364,0.021084654458168,2866.19604492187,2854.2131347656
3415.5,0.021074815595364,0.021087639545443,2866.19604492187,2851.7250976563
3416.5,0.021074815595364,0.021091377838047,2864.53637695312,2849.2436523438
3417.5,0.021074815595364,0.021096012804606,2840.67431640625,2846.8083496094
3418.5,0.021074815595364,0.021101702342233,2834.53491210937,2844.4631347656
3419.5,0.021074815595364,0.021108616899819,2834.53491210937,2842.2548828125
3420.5,0.021074815595364,0.021116936623012,2830.63916015625,2840.2338867188
3421.5,0.021074815595364,0.021126847461789,2830.63916015625,2838.4514160156
3422.5,0.021074815595364,0.021138536236842,2830.63916015625,2836.9587402344
3423.5,0.021074815595364,0.02115218472809,2812.58642578125,2835.8056640625
3424.5,0.021074815595364,0.021167977027,2812.58642578125,2835.0478515625
3425.5,0.021074815595364,0.021186056686864,2811.69750976562,2834.72265625
3426.5,0.021074815595364,0.021206550669115,2804.9453125,2834.8674316406
3427.5,0.021074815595364,0.021229552571875,2804.24487304687,2835.5114746094
3428.5,0.021074815595364,0.021255115792354,2804.24487304687,2836.6743164063
3429.5,0.021074815595364,0.021283247668858,2798.65844726562,2838.3662109375
3430.5,0.021074815595364,0.021313905052006,2798.65844726562,2840.5844726563
3431.5,0.021074815595364,0.021346991718891,2798.65844726562,2843.3161621094
3432.5,0.021074815595364,0.021382357973641,2796.79467773437,2846.5356445313
3433.5,0.021074815595364,0.021419802674935,2777.25048828125,2850.2075195313
3434.5,0.021074815595364,0.021459077800486,2757.9287109375,2854.2866210938
3435.5,0.021074815595364,0.021499895508077,2757.9287109375,2858.720703125
3436.5,0.021074815595364,0.02154193749264,2722.02856445312,2863.4533691406
3437.5,0.021074815595364,0.021584866280646,2722.02856445312,2868.4267578125
3438.5,0.022128556375132,0.021628337958992,2988.09790039062,2873.5859375
3439.5,0.022128556375132,0.021672015717188,2982.55590820313,2878.8820800781
3440.5,0.022128556375132,0.021715583498907,2974.71215820312,2884.2766113281
3441.5,0.022128556375132,0.02175875901926,2974.8681640625,2889.7448730469
3442.5,0.022128556375132,0.021801305411726,2974.8681640625,2895.2797851563
3443.5,0.022128556375132,0.021843040824029,2974.8681640625,2900.8928222656
3444.5,0.022128556375132,0.021883845382534,2979.07348632812,2906.6171875
3445.5,0.022128556375132,0.021923665083661,2953.794921875,2912.5080566406
3446.5,0.022128556375132,0.021962512339441,2953.794921875,2918.6408691406
3447.5,0.022128556375132,0.022000463091911,2953.794921875,2925.1103515625
3448.5,0.022128556375132,0.022037650605562,2947.97973632812,2932.02734375
3449.5,0.022128556375132,0.022074256236464,2947.97973632812,2939.5131835938
3450.5,0.022128556375132,0.022110497649469,2924.28466796875,2947.6965332031
3451.5,0.022128556375132,0.022146615100794,2884.85913085937,2956.7045898438
3452.5,0.022128556375132,0.0221828565138,2884.85913085937,2966.6586914063
3453.5,0.022128556375132,0.022219462144701,2884.85913085937,2977.6655273438
3454.5,0.022128556375132,0.022256649658353,2882.87719726562,2989.8125
3455.5,0.022128556375132,0.022294600410823,2882.87719726562,3003.1596679688
3456.5,0.022128556375132,0.022333447666603,2882.87719726562,3017.7355957031
3457.5,0.022128556375132,0.022373267367729,2882.87719726562,3033.5341796875
3458.5,0.022128556375132,0.022414071926235,2870.69702148437,3050.5104980469
3459.5,0.022128556375132,0.022455807338537,2839.50854492188,3068.5812988281
3460.5,0.022128556375132,0.022498325525096,2832.92431640625,3087.7163085938
3461.5,0.022128556375132,0.022541459177046,2832.92431640625,3107.712890625
3462.5,0.022128556375132,0.02258496542836,2832.92431640625,3128.4045410156
3463.5,0.022128556375132,0.022628553660345,2832.92431640625,3149.6079101563
3464.5,0.0231822971549,0.02267189637493,3456.94116210937,3171.1313476563
3465.5,0.0231822971549,0.022714641237314,3456.94116210937,3192.7875976563
3466.5,0.0231822971549,0.022756423520754,3456.94116210937,3214.4035644531
3467.5,0.0231822971549,0.022796878181657,3456.94116210937,3235.8349609375
3468.5,0.0231822971549,0.022835650839465,3456.94116210937,3256.9787597656
3469.5,0.0231822971549,0.022872407029657,3456.94116210937,3277.7858886719
3470.5,0.0231822971549,0.02290683923303,3456.94116210937,3298.275390625
3471.5,0.0231822971549,0.022938671350891,3440.70288085938,3318.5458984375
3472.5,0.0231822971549,0.022967660482384,3440.70288085938,3338.7875976563
3473.5,0.0231822971549,0.022993596054412,3440.70288085938,3359.2939453125
3474.5,0.0231822971549,0.023016296543602,3440.70288085938,3380.46875
3475.5,0.0231822971549,0.023035604201505,3432.59545898437,3402.8342285156
3476.5,0.0231822971549,0.02305137833779,3432.59545898437,3427.0356445313
3477.5,0.0231822971549,0.023063487823105,3432.59545898437,3453.8435058594
3478.5,0.0231822971549,0.023071803536807,3432.59545898437,3484.1491699219
3479.5,0.0231822971549,0.023076182094936,3432.59545898437,3518.9599609375
3480.5,0.0231822971549,0.023076491794736,3417.28979492187,3559.3933105469
3481.5,0.0231822971549,0.023072573518341,3402.69360351563,3606.6520996094
3482.5,0.0231822971549,0.023064253795148,3402.69360351563,3662.0056152344
3483.5,0.0231822971549,0.023051346675181,3402.69360351563,3726.7607421875
3484.5,0.0231822971549,0.0230336586627,3402.69360351563,3802.2270507813
3485.5,0.0231822971549,0.023010996646765,3399.14819335937,3889.6762695313
3486.5,0.0231822971549,0.022983178547456,3399.14819335937,3990.2976074219
3487.5,0.0231822971549,0.022950046183406,3399.14819335937,4105.1474609375
3488.5,0.0231822971549,0.022911479672291,3386.86157226562,4235.1020507813
3489.5,0.0231822971549,0.02286741251541,3386.86157226562,4380.8041992188
3490.5,0.0231822971549,0.022817846403859,3386.78051757813,4542.6206054688
3491.5,0.0231822971549,0.02276286472871,3386.78051757813,4720.5991210938
3492.5,0.0231822971549,0.022702643789364,3386.78051757813,4914.4384765625
3493.5,0.0231822971549,0.022637460776795,3383.62817382812,5123.4663085938
3494.5,0.0231822971549,0.022567697760726,3367.16821289062,5346.6328125
3495.5,0.0231822971549,0.022493841124791,3367.16821289062,5582.5180664063
3496.5,0.0231822971549,0.022416476158937,3367.16821289062,5829.3544921875
3497.5,0.0231822971549,0.022336276816124,3367.16821289062,6085.064453125
3498.5,0.0231822971549,0.022253990949214,3367.16821289062,6347.3120117188
3499.5,0.0231822971549,0.02217042164049,3367.16821289062,6613.568359375
3500.5,0.021074815595364,0.022086405496966,10131.8779296875,6881.1821289063
