Reference,Sample ,U-Pb (Ma) , δ18O ,±2s
34,1S90 ,102,6.6,
34,95-1 ,102,6.8,
34,95-10 ,102,6.9,
34,95-11 ,102,6.8,
34,95-12 ,102,6.8,
34,95-13 ,102,6.6,
34,95-14 ,102,6.6,
34,95-16 ,102,7.4,
34,95-17 ,102,7.3,
34,95-2 ,102,7.6,
34,96-24 ,102,7.1,
34,96-5 ,102,7.4,
34,96-6 ,102,7.4,
34,96-7 ,102,7.6,
34,96-8 ,102,7.5,
34,96-9 ,102,7.3,
34,F8 ,102,6.6,
34,F9 ,102,7,
34,F9.5 ,102,7.4,
34,SQ7 ,102,7.1,
34,W19 ,102,7.4,
34,YOS–206 ,102,7,
10,2606-09 ,103,5,0.4
31,82CNK108A ,103,7.4,
34,95-6 ,103,7,
34,96-19 ,103,6.7,
34,96-2 ,103,7.7,
34,96-20 ,103,6.7,
34,96-21 ,103,6.6,
34,96-3 ,103,7.6,
34,96-4 ,103,7.3,
34,OW34 ,103,5.3,
34,OW4 ,103,5.2,
34,YOS–1 ,103,6.5,
34,YOS–104 ,103,6.7,
5,RNZ49 ,104,7.9,
10,2606-08 ,104,4.5,0.4
34,1S103 ,104,6.5,
34,W32 ,104,7.1,
34,YOS–180 ,104,5.4,
10,2606-33b ,105,5.3,0.4
10,2606-49 ,105,4.9,0.4
31,82JB1 ,105,7.7,
31,89KK2 ,105,7.2,
31,89KK4 ,105,7.3,
31,91TH125B ,105,7.8,
31,GV1A ,105,6.7,
31,IS93 ,105,8.5,
31,L4P236A ,105,5.4,
31,L5P333A ,105,5,
34,1S127 ,105,6,
34,W36 ,105,7.2,
59, M0-1034  ,105,7.2,0.2
26,Kdp ,106,5.6,
26,Kdp ,106,5.6,
31,82JB 004 ,106,7.3,
5,RNZ49 ,107,5.9,
10,2606-26 ,107,4.9,0.4
10,2606-33a ,107,5.4,0.4
5,RNZ20 ,108,2.1,
10,2606-17 ,108,4,0.4
10,2606-25 ,108,5.2,0.5
10,2606-45 ,108,5.3,0.4
34,KC16 ,108,7.1,
34,W31 ,108,7.1,
5,TT6 ,109,1,
5,RNZ83 ,110,5.2,
5,RNZ83 ,110,5.2,
10,2606-48 ,110,5.1,0.4
31,I 14 ,110,5.5,
31,PC35 ,110,7.8,
33,1S1 ,110,7.9,
33,1S2 ,110,7.6,
33,1S3 ,110,7.9,
33,1S4 ,110,8.3,
34,F11 ,110,7.7,
34,KC11 ,110,7.6,
34,KC6 ,110,7.7,
5,NF3 ,111,3.8,
5,RNZ49 ,111,5.3,
33,1SG04 ,111,8.7,
34,SQ8 ,111,7.6,
34,W22 ,111,5.9,
34,W24 ,111,7.3,
10,2606-15 ,112,4.6,0.4
26,Jhqdz ,112,7.5,
31,WR171 ,115,6.8,
31,WR30/2 ,115,6.8,
33,1S92 ,115,6.7,
33,1S93 ,115,8.1,
34,W26 ,115,6.5,
63,96SH02 ,115,5.4,
63,96SH03 ,115,4.8,
63,97SHG18 ,115,5.1,
63,97SHG37 ,115,4.1,
63,97SHG46 ,115,4.8,
63,97SHG50 ,115,4.9,
5,RNZ49 ,116,6.1,
5,RNZ87 ,116,4.8,
5,WF01 ,116,5.3,
33,1S95 ,116,8.7,
33,1S96 ,116,8.7,
34,W29 ,116,6.3,
5,RNZ20 ,117,5.5,
5,RNZ87 ,117,5.7,
10,2606-16 ,117,5.6,0.5
31,PC34 ,117,7,
31,TC12a ,117,7.9,
31,WR40 ,117,7.9,
31,WR643 ,117,7.9,
5,RNZ83 ,118,5.2,
5,RNZ87 ,118,6,
5,SF2A ,118,4.9,
31,SL 58 ,118,5.6,
5,NF3 ,119,5,
5,RNZ49 ,119,6,
5,RNZ87 ,119,5.1,
5,WF01 ,119,4.1,
9,09DB100 6 ,119,4.5,0.2
10,2606-31b ,119,4.9,0.4
