Database|Continent|Sample_ID|Pb207_Pb206|Pb207_Pb206_2sigma|Pb207_U235|Pb207_U235_2sigma|Pb206_U238|Pb206_U238_2sigma|Pb208_Th232|Pb208_Th232_2sigma|Age_Pb206_Pb207|Age_Pb206_Pb207_2sigma|Age_Pb207_U235|Age_Pb207_U235_2sigma|Age_Pb206_U238|Age_Pb206_U238_2sigma|Age_Pb208_Th232|Age_Pb208_Th232_2sigma|Discordance|Age|Age_2sigma|Th_U|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Yb176_Hf177|Hf176_Hf177_initial|eHf_initial|eHf_initial_2sigma|Tdm|Tdm_Crustal
TerraneChron|Australia|13077|0.05636806|0.00066026|0.55608755|0.00627328|0.07160123|0.00070751|0.0212261|0.0002017|466.8950536095|25.9|448.976687049|4.0806737734|445.7953682772|4.2546515335|424.536922192|3.9916678366|0.708571038|445.7953682772|8.509303067|0.3044224917|0.282285|0.000013|0.00135181|0.0407237|0.2822737019|-7.8168369918|0.4605274811|1.3507447831|1.8761704062
TerraneChron|Australia|13078|0.07350967|0.00090845|1.75475049|0.02161788|0.17324075|0.00182743|0.04715744|0.00052011|1028.0372856459|24.79|1028.9149335029|7.8833030776|1029.9422503055|10.0317175848|931.3651960874|10.0365511515|-0.1853011254|1028.0372856459|49.58|0.5867799785|0.282271|0.000011|0.00172543|0.0679116|0.2822375632|3.8613766213|0.3896964265|1.3843023156|1.5818102748
TerraneChron|Australia|10450|0.06015|0.00179|0.81595|0.02191|0.09839|0.00126|0.03038|0.00037|608.974862705|66|605.7864108853|12.1186314253|604.9667769778|7.3902429922|604.9048255015|7.2566832833|0.1353008078|604.9667769778|14.7804859844|0.4335392427|0.282337|0.000018|0.000335385|0.00977456|0.2823331904|-2.1848432504|0.6375359942|1.2435419289|1.640135859
TerraneChron|Australia|10451|0.16192|0.00161|10.1363|0.1151|0.45403|0.00528|0.13771|0.00139|2475.808770904|17|2447.2864323342|9.9332794269|2413.1443135262|23.3471964659|2607.7305748006|24.6771932439|2.5310701745|2475.808770904|34|1.383475108|0.281054|0.000017|0.000637185|0.0177695|0.2810238559|-6.3125067207|0.6048659688|3.0043021578|3.350440955
TerraneChron|Australia|10452|0.2546|0.00448|21.0774|0.27308|0.60043|0.00716|0.16011|0.00197|3213.5983566492|28|3142.1581569297|11.104261949|3031.5703022654|28.7371958979|3001.8156282694|34.2889213608|5.6643063066|3213.5983566492|56|0.5702047024|0.280884|0.000014|0.00119995|0.0337332|0.2808098019|3.2310088848|0.4984263967|3.2795538888|3.3125257191
TerraneChron|Australia|10455|0.25128|0.0049|21.03426|0.30766|0.60711|0.00784|0.16208|0.00217|3192.8487194161|32|3140.1721224489|12.3610059763|3058.4208537739|31.3250494785|3036.1092041581|37.7022370887|4.2102798302|3192.8487194161|64|0.6216811968|0.280802|0.000013|0.000951394|0.0250472|0.2807435625|0.3849561255|0.4629596655|3.3687921246|3.4779689624
TerraneChron|Australia|10456|0.15978|0.00155|9.24604|0.10333|0.41976|0.00488|0.10428|0.00107|2453.3337419212|17|2362.6859821007|9.7447930607|2259.3898033468|22.1037296988|2004.9224635955|19.5743128037|7.9053222666|2453.3337419212|34|0.6748540619|0.281156|0.000013|0.000862567|0.0326381|0.2811155724|-3.5694635739|0.4623767588|2.8839572049|3.1581326506
TerraneChron|Australia|10457|0.15579|0.00156|9.72211|0.1154|0.45257|0.00556|0.12559|0.00143|2410.4721381245|17|2408.8013043943|10.3424713677|2406.668179557|24.6065867533|2391.255030377|25.6601784815|0.1578096883|2410.4721381245|34|0.4831419662|0.281079|0.000019|0.000662381|0.0248225|0.2810485096|-6.9421418561|0.6759665432|2.97265723|3.3400553759
TerraneChron|Australia|10459|0.17041|0.0018|10.90967|0.12665|0.4641|0.00543|0.13016|0.00147|2561.6738162509|18|2515.4598925469|10.1667834466|2457.6355791607|23.8435460045|2473.1524127594|26.2707570796|4.0613381934|2561.6738162509|36|0.6690838986|0.281267|0.000015|0.000267982|0.00675212|0.2812538719|3.8518497356|0.5333010982|2.691859356|2.7686753944
TerraneChron|Australia|10461|0.16001|0.00153|9.95928|0.10832|0.45123|0.00519|0.1272|0.00128|2455.7661311916|17|2431.0164856895|9.5286762333|2400.718599271|22.9945413281|2420.1451561866|22.9374632789|2.2415624689|2455.7661311916|34|0.2514920699|0.281092|0.000017|0.000684328|0.0248171|0.2810598937|-5.4932921247|0.6047841988|2.9568530588|3.2826967453
TerraneChron|Australia|10463|0.16357|0.00159|10.32943|0.11429|0.45782|0.00533|0.12356|0.00126|2492.9017677749|17|2464.7446462507|9.6988237968|2429.925345205|23.5064300794|2354.7693937678|22.6524411508|2.5262296086|2492.9017677749|34|0.472895712|0.281236|0.000013|0.000799315|0.0248136|0.2811979186|0.2721344446|0.4622452318|2.7709911466|2.9437593262
TerraneChron|Australia|10465|0.16504|0.00167|10.00416|0.11469|0.43967|0.0052|0.12246|0.00132|2507.9612616338|17|2435.1661503009|10.0186270429|2349.163066292|23.2237243208|2334.9713037992|23.7536732469|6.3317642809|2507.9612616338|34|0.7664850836|0.28118|0.000016|0.000753827|0.0214888|0.2811438637|-1.3024417706|0.5690305143|2.8434257988|3.0558185601
TerraneChron|Australia|10466|0.10716|0.0014|4.34437|0.0603|0.29405|0.00362|0.08399|0.00092|1751.6703246063|24|1701.8263394066|11.1243408942|1661.7362463082|18.0007594785|1630.0894973755|17.1465618262|5.1341897522|1751.6703246063|48|2.235744274|0.281512|0.000015|0.000519127|0.0141866|0.281494742|-6.1613729514|0.5328369661|2.3785309971|2.7806869053
TerraneChron|Australia|10467|0.16488|0.0016|10.30855|0.11236|0.4535|0.0052|0.12867|0.0013|2506.3297429914|17|2462.8715812366|9.5610782734|2410.7941403178|23.0027514227|2446.4870818746|23.2652877921|3.8117730893|2506.3297429914|34|1.0224589516|0.281207|0.000013|0.000423822|0.0141927|0.2811866967|0.1831971522|0.4622929017|2.783142308|2.9598173114
TerraneChron|Australia|10468|0.17914|0.00323|12.07971|0.16386|0.48906|0.0058|0.13479|0.00164|2644.9247302819|31|2610.6129608869|11.7797966057|2566.607886481|25.0367285482|2555.7880098686|29.1868124059|2.961023537|2644.9247302819|62|0.4106777162|0.281202|0.000018|0.000746685|0.0211084|0.2811642026|2.5897734127|0.6401092453|2.813177999|2.9135520991
